,Name,X,Y,BlueF,GreenF,RedF,Parallax,RadialVelocity,Variable?,Period,Absolute_Magnitude,Dist
0,BackS000011,-42.3083,1.0981,8.753e-14,6.817e-14,2.914e-14,-0.0,13.2,1,44.88888888888889,-4.444946996152272,22947.20814247801
1,BackS000079,-42.2302,1.1559,3.909e-14,3.544e-14,2.065e-14,0.0,14.69,1,48.12069878242456,-4.636939463956609,25514.285530749607
5,BackS000288,-42.2261,1.2129,6.656e-14,5.058e-14,2.12e-14,0.0,15.16,1,45.2463912394226,-4.466185175620102,25996.686663598335
7,BackS000322,-42.2305,1.1152,1.085e-13,8.283e-14,3.374e-14,-0.0,13.25,1,41.67812929848693,-4.2542050659042285,25930.066846903526
8,BackS000332,-42.2727,1.1634,8.755e-14,6.966e-14,3.164e-14,-0.001,17.83,1,44.44987775061125,-4.418866615619955,23392.40945502594
9,BackS000345,-42.2913,1.1703,5.496e-14,4.998e-14,3e-14,0.0,14.02,1,45.42728635682159,-4.476931630748126,25830.693054156087
10,BackS000355,-42.2914,1.1703,1.128e-13,8.999e-14,3.978e-14,0.0,22.83,1,43.849493487698986,-4.3831995250222135,21443.867326760297
11,BackS000373,-42.3908,1.565,6.024e-14,5.102e-14,2.648e-14,0.0,18.36,1,46.07197161682716,-4.51523051530601,24463.270370660408
14,BackS000570,-41.6843,1.4431,3.545e-14,2.906e-14,1.415e-14,0.0,8.42,1,49.375339489407935,-4.71147403544342,25859.20549055228
15,BackS000697,-42.5683,1.1679,6.172e-14,4.86e-14,2.143e-14,0.001,8.56,1,46.353901070882195,-4.531979127821563,24586.250459688417
16,BackS001230,-42.864,1.1897,1.238e-13,9.743e-14,4.208e-14,-0.001,17.04,1,41.98614318706697,-4.272503279145292,23410.03209718502
17,BackS001299,-41.8684,1.2927,9.121e-14,8.15e-14,4.727e-14,-0.0,20.45,1,43.26511185149929,-4.3484831041405485,23451.986934485845
18,BackS001308,-41.759,1.2538,8.35e-14,7.185e-14,3.893e-14,-0.0,13.18,1,44.276668290306866,-4.4085767431254705,23307.63681546156
21,BackS001434,-42.191,0.9491,4.083e-14,3.224e-14,1.506e-14,0.001,20.02,1,48.428343100692594,-4.655215722095557,26193.565695618236
22,BackS001558,-42.5438,1.1937,3.096e-14,2.374e-14,1.013e-14,0.0,10.23,1,48.73994638069705,-4.673727170687767,29881.063975356883
23,BackS001777,-40.0848,0.013,4.744e-14,3.795e-14,1.789e-14,0.001,15.7,1,47.220779220779214,-4.58347784859016,26221.358338705653
24,BackS001817,-40.1006,0.0199,8.595e-14,7.015e-14,3.339e-14,0.0,16.84,1,46.07197161682716,-4.51523051530601,20862.718811705978
25,BackS001940,-40.0198,-0.0011,8.002e-14,7.419e-14,4.55e-14,0.0,13.66,1,42.93811998110534,-4.329057463952224,25136.139762926166
27,BackS002012,-40.1089,-0.0103,9.691e-14,8.128e-14,4.22e-14,0.0,16.11,1,42.61603375527426,-4.309923253902683,24549.71900538262
