Time,NormalisedFlux
0.0,1.0687509889320927
1.0,1.0445945329495134
2.0,1.044445917815251
3.0,1.039165280562599
4.0,1.015181601326988
5.0,1.0779020424524899
6.0,1.0401839571836684
7.0,1.046374608757311
8.0,1.0429461625432397
9.0,1.0166205296527753
10.0,1.020068035014147
11.0,0.9909678582639999
12.0,0.9994586303744315
13.0,1.0054970966194627
14.0,0.9990820169862206
15.0,1.0060902080018845
16.0,0.9835540401738445
17.0,1.0141404349776029
18.0,0.9966913818520201
19.0,0.9838598451519287
20.0,0.9279594274777764
21.0,0.962710573400941
22.0,0.9265205470423374
23.0,0.949353683226843
24.0,0.9426951628326856
25.0,0.9514636645855105
26.0,0.9454891903652428
27.0,0.931958781378499
28.0,0.960111445783034
29.0,0.9128629326379808
30.0,0.9172885796040964
31.0,0.8873819588011811
32.0,0.8935060531888871
33.0,0.8945399366126737
34.0,0.8983674190083957
35.0,0.9499480124368203
36.0,0.9789955461427868
37.0,1.0584581236275339
38.0,1.0633690273710532
39.0,1.0792281824501895
40.0,1.1093980847574363
41.0,1.0965933296107424
42.0,1.0819289516790098
43.0,1.0850515136946388
44.0,1.0707763498191498
45.0,1.0556852775962164
46.0,1.046598518373779
47.0,1.0607233142205588
48.0,1.073293213918351
49.0,1.0557074516134357
50.0,1.0544401142421218
51.0,1.0344673426318889
52.0,1.0162561418371159
53.0,1.0467412660130795
54.0,1.0211919710235071
55.0,1.0244344022484033
56.0,1.0201547076878004
57.0,0.9803580840322574
58.0,0.9796137566850878
59.0,0.980857049783776
60.0,1.0063135284922116
61.0,0.9621067828247717
62.0,0.9725383459793514
63.0,0.9610354361512013
64.0,0.9968130992941628
65.0,0.9609649792977794
66.0,0.9772357612142286
67.0,0.9364534674244714
68.0,0.9459434299135008
69.0,0.9720663321724653
70.0,0.9459738853507378
71.0,0.9641656851987048
72.0,0.9659280289797476
73.0,0.9195873387260537
74.0,0.9382505468584725
75.0,0.9474228214037816
76.0,0.9323383644921284
77.0,0.904551841358133
78.0,0.8997865755661854
79.0,0.9115647984317069
80.0,0.951104472335725
81.0,0.9066352451256647
82.0,1.003105254811804
83.0,1.0367808463090302
84.0,1.0453530722040782
85.0,1.0924015067046038
86.0,1.1571635446888313
87.0,1.0712360588595269
88.0,1.0850840736979794
89.0,1.0773485868865147
90.0,1.0819792486574151
91.0,1.0802455746583306
92.0,1.0616422424864187
93.0,1.0350382178213333
94.0,1.0142223939629222
95.0,1.0508055396073366
96.0,1.0615818858880703
97.0,1.0647107482743778
98.0,1.0403445527995039
99.0,1.03189546946215
100.0,1.0147316352746423
101.0,1.0215243998382793
102.0,1.0114757942914567
103.0,1.010638981820606
104.0,0.9925146822756441
105.0,1.0030890610890775
106.0,1.0047688449500616
107.0,0.9865351459342045
108.0,1.0081076353511238
109.0,0.9712285183097146
110.0,0.9603283353976116
111.0,0.9223104604973987
112.0,0.9886380135183109
113.0,0.9754563317687218
114.0,0.9775570612988437
115.0,0.9718256106833564
116.0,0.9620526291446376
117.0,0.970393913627749
118.0,0.9855003341487618
119.0,0.9314040949395903
120.0,0.9632733532813098
