Time,NormalisedFlux
0.0,0.937608630085356
1.0,0.9663507482015053
2.0,0.9289257582378887
3.0,0.9503433831359223
4.0,0.9504724700060894
5.0,0.9311888502030671
6.0,0.9609663605265045
7.0,0.988127334244747
8.0,0.9302692971924655
9.0,0.9346406742988872
10.0,0.9563504457777321
11.0,0.8927807625197508
12.0,0.909839919109431
13.0,0.900853867255293
14.0,0.8971975747993659
15.0,0.9220499962474263
16.0,0.9724943018873307
17.0,1.0033096566235464
18.0,1.0223120143518685
19.0,1.0631155817921454
20.0,1.0931741542236562
21.0,1.0792079536975339
22.0,1.07750209198199
23.0,1.0679160112268113
24.0,1.0631371719977762
25.0,1.039659161426933
26.0,1.0627175409725012
27.0,1.0255018799517397
28.0,1.0360760644891611
29.0,1.0330470343664084
30.0,1.0425089085263268
31.0,1.0373312873891445
32.0,1.0537036378934204
33.0,1.0370840748746595
34.0,0.9988284611388227
35.0,1.0160664016166232
36.0,1.034738292233183
37.0,0.9815874888839288
38.0,0.9761613974191157
39.0,0.9847445407509126
40.0,1.0020859783586697
41.0,1.0239770774896038
42.0,1.0050447489910932
43.0,0.9652788397932971
44.0,0.9717974460004694
45.0,0.9709261865409472
46.0,0.9498738878902008
47.0,0.9537115697857401
48.0,0.9589843212112078
49.0,0.9621178670160526
50.0,0.9380418259824531
51.0,0.9758999312999853
52.0,0.9156270223468985
53.0,0.9336863714079028
54.0,0.9278166550333601
55.0,0.9187492518026372
56.0,0.8989799379497728
57.0,0.9065941624713412
58.0,0.8985697777920948
59.0,0.9175369465823813
60.0,0.9371908560881415
61.0,0.9945351220470975
62.0,1.0199735808188728
63.0,1.0754549986826734
64.0,1.0762709837143531
65.0,1.0897915506434976
66.0,1.0915419159122346
67.0,1.0684570576375856
68.0,1.0699034142608395
69.0,1.0793391948725217
70.0,1.04175853976979
71.0,1.0681525109450947
72.0,1.0418247989556098
73.0,1.026201030525398
74.0,1.0528443658691777
75.0,1.040958260684498
76.0,1.0322195086117627
77.0,1.0381067160266333
78.0,1.0391902305169132
79.0,0.9986213342044277
80.0,1.0327857911971328
81.0,1.014612866708894
82.0,0.9939152295660946
83.0,0.9943044133852588
84.0,0.9904484035790697
85.0,0.9982260350062984
86.0,0.9694067507760582
87.0,0.9925790227680519
88.0,0.9902763469096395
89.0,0.944657401002979
90.0,0.9617691744689854
91.0,0.9709394850193792
92.0,0.9644212048834163
93.0,0.9662834694403435
94.0,0.9626117116678704
95.0,0.9715407124429261
96.0,0.9720905037451688
97.0,0.9785906747281287
98.0,0.9199752072956012
99.0,0.9385876121991581
100.0,0.9103389258937845
101.0,0.882143032687762
102.0,0.8814483998054247
103.0,0.9157205549100562
104.0,0.9545943275015317
105.0,0.9466178592103018
106.0,0.9885860723401342
107.0,1.033884835370647
108.0,1.0288404612234336
109.0,1.0841348252897918
110.0,1.0960602289768453
111.0,1.093727414116128
112.0,1.1038678143816865
113.0,1.061691489607862
114.0,1.0661349351987432
115.0,1.0584162019179681
116.0,1.0560449403624645
117.0,1.0791296576726557
118.0,1.0591446293990066
119.0,1.0497753773541865
120.0,1.0226921035933791
